,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
39,3-комн. квартира,Вторичка,"59,7","38,7","6,6","2,5 м",,Без ремонта,1977,Нет,Кирпичный,Железобетонные,6,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 114На картеБуревестник19 мин.Бурнаковская5 мин.Канавинская6 мин.",5 650 000 ₽,,,1 пассажирский,,Центральное,1-447
40,Студия,Вторичка,"25,3",13,5,,1 совмещенный,,1985,Да,Кирпичный,Железобетонные,1,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Нижегородская ул., 10На карте",4 900 000 ₽,,Во двор,2 пассажирских,,,
41,1-комн. квартира,Вторичка,"33,9",20,"5,4",,1 совмещенный,Косметический,1959,Да,Блочный,Деревянные,2,Котел/Квартирное отопление,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, ул. Саврасова, 16На карте",3 300 000 ₽,,,,,Центральное,
42,1-комн. квартира,Вторичка,"30,3","17,7","5,3",,1 совмещенный,Косметический,1983,,Кирпичный,Железобетонные,1,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Пермякова, 12На карте",3 050 000 ₽,1 балкон,,1 пассажирский,,Центральное,1-447
43,2-комн. квартира,Вторичка,38,28,5,"2,7 м",,Без ремонта,1957,,,Нет информации,1,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Народная Стройка, 19На карте",2 600 000 ₽,,Во двор,,,Центральное,
44,1-комн. апартаменты,Вторичка Апартаменты,20,12,3,"2,8 м",1 совмещенный,Без ремонта,1913,,Кирпичный,Железобетонные,1,Нет информации,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Ульянова, 29На карте",2 600 000 ₽,,На улицу,,,,
45,2-комн. квартира,Вторичка,45,28,"5,8",,1 совмещенный,Косметический,1964,Да,Кирпичный,Железобетонные,4,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Вячеслава Шишкова, 6к2На карте",4 800 000 ₽,1 балкон,,,,Центральное,
46,4-комн. квартира,Вторичка,200,"109,6",27,"3,1 м",2 совмещенных,Дизайнерский,2012,,Монолитный,Железобетонные,5,Автономная котельная,Нет,7 из 7,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Варварская ул., 6аНа картеГорьковская20 мин.",59 900 000 ₽,"1 лоджия, 1 балкон",На улицу и двор,1 пассажирский,Подземная,,
47,1-комн. квартира,Вторичка,34,20,"5,3",,1 совмещенный,Без ремонта,1966,,Блочный,Железобетонные,1,Центральное,Нет,6 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Героя Советского Союза Прыгунова, 15На карте",3 300 000 ₽,1 балкон,,1 пассажирский,,Центральное,II-18
48,3-комн. квартира,Вторичка,57,30,18,,1 совмещенный,Евроремонт,1962,,Кирпичный,Нет информации,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Московский проспект, Московское ш., 155На карте",5 900 000 ₽,,,,,Центральное,
49,Студия,Вторичка,23,15,3,,1 совмещенный,Косметический,1917,,Кирпичный,Железобетонные,1,Центральное,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Премудрова, 12к1На карте",2 100 000 ₽,,Во двор,,,Центральное,
50,2-комн. квартира,Вторичка,"71,5",,,"2,8 м","1 совмещенный, 1 раздельный",Дизайнерский,2016,Нет,Блочный,Железобетонные,2,Индивидуальный тепловой пункт,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Максима Горького, 43На картеГорьковская12 мин.Московская5 мин.Чкаловская7 мин.",19 000 000 ₽,1 лоджия,На улицу и двор,2 пассажирских,Подземная,,
51,1-комн. квартира,Вторичка,"34,6","23,8","5,8","2,8 м",1 раздельный,Косметический,1959,,Кирпичный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, ул. 50-летия Победы, 13На картеБуревестник17 мин.Бурнаковская5 мин.Канавинская6 мин.",3 100 000 ₽,,Во двор,,Наземная,Центральное,
